label,v1,v2,delta,abs_delta
FF Fieldbus HSE (1090),4058,5068,1010,1010
FF Fieldbus HSE (1091),2397,4712,2315,2315
Red Lion (789),24885,29053,4168,4168
EtherNet/IP (44818),56831,62565,5734,5734
OPC UA (4840),70468,62311,-8157,8157
DNP3 (20000),43934,54251,10317,10317
Modbus (502),30396,44828,14432,14432
SNMP (mgmt) (161),173589,156288,-17301,17301
BACnet (47808),38314,56271,17957,17957
OMRON FINS (9600),15675,46942,31267,31267
PCWorx (1962),14960,59780,44820,44820
IEC 104 (2404),130348,44077,-86271,86271
ProConOS (20547),6392,102587,96195,96195
S7/ISO-TSAP (102),45643,252575,206932,206932
EtherNet/IP (alt) (2222),116133,455954,339821,339821
